,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
ComplexClass,0.05,0.055944055944055944,0.07079646017699115,0.0,0.10909090909090909,0.05555555555555555,0.05555555555555555,0.06299212598425197,0.0,0.0,0.06015037593984962,0.0625,0.0,0.05333333333333334,0.05517241379310345,0.05263157894736842,0.04938271604938271,0.09210526315789473,0.056338028169014086,0.053691275167785234,0.0
FunctionalDecomposition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BaseClassKnowsDerivedClass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MessageChains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpaghettiCode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LongMethod,0.19375,0.20279720279720279,0.21238938053097345,0.0,0.2,0.2152777777777778,0.2152777777777778,0.2047244094488189,0.0,0.0,0.21804511278195488,0.25,0.1,0.21333333333333335,0.21379310344827587,0.20394736842105263,0.2037037037037037,0.18421052631578946,0.2112676056338028,0.21476510067114093,0.0
LazyClass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LongParameterList,0.01875,0.02097902097902098,0.02654867256637168,0.0,0.01818181818181818,0.034722222222222224,0.034722222222222224,0.023622047244094488,0.0,0.0,0.03007518796992481,0.0,0.0,0.02666666666666667,0.034482758620689655,0.019736842105263157,0.030864197530864196,0.0,0.028169014084507043,0.020134228187919462,0.0
SwissArmyKnife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RefusedParentBequest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AntiSingleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TraditionBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BaseClassShouldBeAbstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClassDataShouldBePrivate,0.0875,0.08391608391608392,0.09734513274336283,0.0,0.09090909090909091,0.08333333333333333,0.08333333333333333,0.09448818897637795,0.0,0.0,0.07518796992481203,0.0,0.3,0.09333333333333334,0.08275862068965517,0.09210526315789473,0.08641975308641975,0.05263157894736842,0.08450704225352113,0.09395973154362416,0.0
ManyFieldAttributesButNotComplex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpeculativeGenerality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LargeClass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
